instance_id,n_jobs,n_machines,num_nodes,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_max,deg_mean,deg_median,deg_std,deg_range,deg_q1,deg_q3,deg_gini,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,makespan_max,makespan_min,makespan_range,energy_sum_max,energy_sum_min,p_value_max,p_value_min,p_value_mean,e_value_max,e_value_min,e_value_mean,window_min,window_mean,window_max,overlap,max_tardiness,operation_cost_mean,operation_cost_std,energy_min_mean,energy_avg_mean,energy_max_mean,num_op_nodes
10-10-0.pt,-0.0017108894313869556,-0.0006564404805683613,-0.002457314410700974,0.00036664165252740436,-0.000586031993599195,-0.0002511484537547086,-0.0001838349142838167,0.00022856835996919105,-0.000990926477732008,-0.0017050045345034701,-0.0002575980950840777,-0.0007413518250690375,-0.0015607853054540224,-0.0006156411360658197,-0.0014990341290400547,-0.0008470592751963454,-0.00046668431041656494,-0.0006466925560543567,-0.0006405985018947452,-0.0014324315594427164,-0.0023587664606860618,-0.002534124587059955,-0.002186597815413149,-0.0024622356013432275,-0.0016499545580422094,-0.0016514754325282473,-0.0015645429580094091,-0.0029785328424965585,-0.001372360933142329,-0.001202465196715496,-0.0013832602285196265,-0.0017388618111280052,-0.001672135750630156,-0.002599831747408185,-0.0005706340529115451,-0.0036043958738514645,-0.000557639016455028,-0.005001673697014058,-0.00043868730248878293,-0.0008788924210062092,-0.0004234905984385131,-0.0056032026955106645,-0.0035416208971828797,-0.0011149156775385194,-0.0022530047551097957,-0.002650230909061492,-0.0027209993950163256,0.0003303227989439446,-6.864224497933921e-05,-0.00027776141807164687,0.0003317188385661838,-8.392608646248929e-05,-0.00043915973012082545,-0.0006682230257505111,-0.0007059767891354148,-0.000729782071859421,-0.0009861267207189942,-0.0018616265346783657,-0.00034608854765135513,-0.0010074179640320478,-0.0005487757868302581,-0.00039014533620824516,-0.00041288706747564814,-0.0026961543991926287
10-11-0.pt,-0.0014581799446686506,-0.0005170071816941992,-0.0018310288094273049,0.00038195303193831086,-0.0003904655036698208,-5.9671588791184454e-05,0.00013388474748170706,0.00018445475911880223,-0.0006937290963703488,-0.001565581500421816,2.1893520473718346e-05,-0.0005750720999273827,-0.0010788859360583382,-0.0004135761779927058,-0.0010672935920834031,-0.0005509620266602404,-0.00031804885799779047,-0.0004428757230020987,-0.00037742397477131856,-0.0008807807304143589,-0.001845670087489759,-0.002146515958647428,-0.001778664208843791,-0.0022499057989571083,-0.001327383143313631,-0.0010977878936144756,-0.0013130119912621542,-0.002600228924278404,-0.0011639037113408994,-0.0007384568837551598,-0.0011149572486160908,-0.0014653869687585193,-0.0013794941587382018,-0.0022862981868631126,-0.0005636277429567918,-0.0031327625423561377,-0.0005493433719676192,-0.00440058683564902,-0.0004358517511672745,-0.0008694348969554491,-0.00041774557056155516,-0.0048207539440202505,-0.0028208298957821884,-0.000732126779682636,-0.0018513745935716543,-0.0020037524411820684,-0.0018249344574607367,0.000360050951460983,-5.882935313520629e-05,-0.000278489090141123,0.0003269414537426444,-8.527254515931352e-05,-0.00047851886016949703,0.006155205260726554,0.005495781365684461,0.005416750074539589,-0.0006722262365542163,-0.0016565162737288191,-0.0004195656246670905,-0.00048542796355018287,-0.000469258114854912,-0.0003585145357049185,-0.00044017303342871555,-0.002114707780682518
10-12-0.pt,-0.0014839404846869234,-0.0005254916143865965,-0.0016722997359273433,0.0006799642897371973,-0.00039712357953996245,4.060445829942207e-05,0.000140790184567815,0.0003849223008174371,-0.0007710518062846057,-0.0016710787202790704,0.00019643054099773523,-0.0005634835642820956,-0.0011768140730735663,-0.00047244523680989,-0.0010964606761917695,-0.0006523466884111672,-0.00037103145672939835,-0.0004730098000308626,-0.00037615445179308094,-0.0008747053595088486,-0.0019192750156228984,-0.0021257916733683348,-0.0018473828733818318,-0.0017985910750840316,-0.0014474801867021833,-0.0012685472623994894,-0.0014048047437273071,-0.002674934012264292,-0.001199642712394887,-0.000845642581883974,-0.001174019732479766,-0.0014882818387148484,-0.0014714809973273733,-0.002052866709968089,-0.0005718086514537008,-0.002809542702812998,-0.000553222351312901,-0.004318028062877971,-0.0004394327211029423,-0.0008790936161982009,-0.00042448028585790617,-0.004443367392307587,-0.0026500157948809956,-0.0008053241755676682,-0.001726245166257625,-0.0015970831701105346,-0.0016194129521631773,0.0006070409637377787,-5.404364724767114e-05,-0.00041363102988932075,0.0005515599681933599,-8.091742910515776e-05,-0.0004943594498041994,-0.0008730776270094886,-0.0007630353052376948,-0.0007589268488877649,-0.0005947789305565297,-0.0017119174293337028,-0.00045234242656727586,-0.0003661707619154374,-0.00048102653494327865,-0.00046085514706579973,-0.0005261073281787179,-0.0019535335877343537
10-13-0.pt,-0.001346624105735762,-0.00038418572679722196,-0.001389798481961619,0.0006062696553518897,-0.00036222095605416223,8.836938892449613e-05,0.0008790664156503567,0.0003047946413279233,0.00046692132303962746,-0.0014042633911282817,-6.897766280018611e-05,-0.000499164810865897,-0.0009839370206730985,-0.00035118125810547205,-0.000815027481713507,-0.0004635273771892246,-0.0002665257258406283,-0.00044074807498527626,-0.0002316663098953151,-0.0006992726043105229,-0.0013614951474875195,-0.0020156491236840227,-0.0017893751141271437,-0.0019140091631209342,-0.0013680409691202446,-0.0009141675666490894,-0.0012388032689652417,-0.002538077463549682,-0.001072608803685347,-0.0006306410631612023,-0.001003732299985734,-0.001354573585996367,-0.0013025873300542402,-0.0018658486872116218,-0.0005617400215155305,-0.0028049605588175716,-0.0005481463073604603,-0.004159673133118939,-0.0004347396298947434,-0.000866173204004641,-0.00041771768078917196,-0.0043668493879941515,-0.0024611141141530585,-0.0006800332531331503,-0.0016789402423535867,-0.001547435663852065,-0.001295551691151763,0.0006608195772287005,-5.949421397653283e-05,-0.0003970458732154488,0.0004685837684922357,-7.620743171971835e-05,-0.0003945414035491367,0.004027397361888523,0.003624106974792125,0.003706356824187623,-0.00040833272730559094,-0.001655012301387119,-0.00039167564043910016,0.0008452599131248042,-0.0005275965586175208,-0.0004889456551259511,-0.0004911640324652335,-0.0017361254934754279
10-14-0.pt,-0.0017055943301829992,-0.0007009710989353777,-0.0026421174125065843,-0.0004925578144839171,-0.0007698635847027716,-0.00019010791176798881,-0.00013567432946926723,-0.0004045398008223944,-0.00012356097701478775,-0.0019458601669238862,-0.00044929117263887807,-0.000833020278291857,-0.0016191640827036345,-0.0006481468258529965,-0.0014531837170342786,-0.0008717139676818894,-0.0005046721608447173,-0.0006706106024518129,-0.0007845586974026907,-0.0013385044271750674,-0.0021211089452960337,-0.002674054798873726,-0.0024016332447212066,-0.002795253023876308,-0.0019131295519387778,-0.0014021207480700954,-0.0015756288653813628,-0.0030469711953744535,-0.001382293889075321,-0.0009733262306402638,-0.001389428564244804,-0.0017446193931823044,-0.0016612316361448373,-0.0027620522235415066,-0.0005784746962405398,-0.003925272753515232,-0.0005605717787266083,-0.005183099541413696,-0.00044708899021930174,-0.0008883999677920854,-0.0004288179766385959,-0.005481894399422279,-0.0036832962921086016,-0.001270993194920839,-0.0023706003692648423,-0.0032870851966709212,-0.003529758762652456,-0.00044515745837703187,-5.9371821915818776e-05,-0.00046451565641188435,-0.0005532474621697559,-8.476649636324947e-05,-0.0007488159869515111,0.00031548835240518067,0.00044640940203942827,0.0003962118557457728,-0.0009670304451594552,-0.0020948697053726466,-0.0004582887696047196,-0.0007090787263670883,-0.0005277984996841914,-0.0003725538206772843,-0.0004389136527147733,-0.0029712023035846223
10-15-0.pt,-0.0015671828584559186,-0.0006518922727773924,-0.0029878752157566696,-0.00032380455011975934,0.0007377713567080002,0.0003717386827177158,2.091909646769095e-05,-0.0002440292866976528,0.0009995615481805309,-0.0018807951963909994,0.0008077085785376311,-0.0006779569511657671,-0.001414805942555762,-0.0005700872259137949,-0.001216664911418896,-0.0007387225866668012,-0.00044328869273182526,-0.0005652305230289925,-0.0006449781911970032,-0.00101233676673652,-0.0017766607990954422,-0.002613121272778129,-0.002218923055204341,-0.0028845496026460487,-0.0016102512344113883,-0.0012354620209948603,-0.0014538171721999958,-0.002783914427010414,-0.0011870545093750436,-0.0006842207476818959,-0.001247568177771653,-0.0015955566081373282,-0.0014642051623681121,-0.003074266841485953,-0.0005742844638209774,-0.004150470962061176,-0.0005587756226951422,-0.005108064247741276,-0.00044159583575504647,-0.0008786483054715657,-0.0004256652390815298,-0.005859336723943741,-0.003953467689191891,-0.0011866818423848311,-0.0026667589694064366,-0.00344510797058102,-0.0035242632579519707,-0.0002521563748990243,-5.925795148278275e-05,0.000950904310884632,-0.00033296596230965065,-7.972154682444926e-05,0.0011524307961494728,-0.00037609827178552936,-0.00016066289601533514,-0.0003166023048839055,-0.0006955379192943819,-0.0019320535647197742,0.0010081513900521478,-0.0005251073366728292,0.0010287215589119038,0.0011279953759398412,0.0009964966531037735,-0.0029607425848119082
10-16-0.pt,-0.0016761092623192252,-0.0007674250328665777,-0.0033591918725343175,-0.0003920154822942783,-0.0006255608672229094,-0.00021753974287244595,-1.4667161537985386e-05,-0.00026043263690988714,-0.000756647334179456,-0.001994371478231629,-0.0004537461532244781,-0.0008091511155372311,-0.0016169061935517638,-0.000605795770333417,-0.0014712583870477645,-0.0009181899306097771,-0.0005054133341497889,-0.0006887420877175954,-0.0008337910513233448,-0.0014322805289661233,-0.002036051499768456,-0.0031281474235612954,-0.0027028383546311313,-0.0033459671633764977,-0.002164327459387038,-0.001331367274423907,-0.001576495985680778,-0.0029549544697334653,-0.0012547436452040271,-0.0007590455931689989,-0.0013822893061796238,-0.001721047502067216,-0.0016523644236565973,-0.0034719582257308336,-0.0005820979506770928,-0.004774847184694007,-0.0005637729768463344,-0.005664218350607409,-0.0004467185326242132,-0.0008905239299288702,-0.00042961999421213515,-0.006289733879487834,-0.0046983347891548415,-0.0014278618286263623,-0.003182516801322651,-0.003992485998853434,-0.004511897614523966,-0.00031555312927011435,-5.9913269621996916e-05,-0.00015853735151908884,-0.000406307218607135,-7.893527578363604e-05,-0.00031210978827357557,0.0006494940181713846,0.000697476501256295,0.0006551284089270684,-0.0008139329031385702,-0.0021828246980632464,-0.00022716217543153482,-0.000716417028733151,-0.00013327776807932557,-6.967447306801037e-05,4.8558134397052316e-05,-0.0034137067925942453
10-17-0.pt,-0.001489645488025372,-0.0007031534319985729,-0.003828219031667878,-0.00026605519439737907,0.0002730288404880895,-1.678833914314966e-05,-1.553706318500667e-06,-0.00012439409799727048,0.0003672076487468842,-0.0019275393194983109,0.00040212241122308004,-0.0007313962432849068,-0.001517240207815895,-0.0005713785559232449,-0.0013666929818944404,-0.0007672159306121144,-0.000505408741235401,-0.0006131717848129356,-0.0007635925704735754,-0.0012187215644039735,-0.0018655866698244691,-0.003057570160225118,-0.0025904546016501636,-0.0035608229364755615,-0.001996757679676071,-0.0012371363674380626,-0.0014370698840179092,-0.002565788856480914,-0.0011800430745934308,-0.0005837232755345411,-0.0012008347578100539,-0.0015569463668022312,-0.001469660164619777,-0.0037311993047878696,-0.0005818636126998271,-0.004927441247355911,-0.0005583891419556953,-0.0057722283857093324,-0.00044497215879013704,-0.0008844499788261442,-0.00042908782381607296,-0.006681246220721812,-0.00478159332079016,-0.0012594370172423985,-0.0032660510124736274,-0.004310938176390218,-0.004626440852151533,-0.0002158786868926884,-5.883397890611112e-05,0.000935561014679541,-0.00019969862959635216,-7.657080420798168e-05,0.0012179147207105744,-0.0007065646116452819,-0.0006461617037570676,-0.0006524675240655158,0.00033885868364411646,-0.002026113751896187,0.0009845434564415992,-0.0005151970079344987,0.001301945085849188,0.0013244256793796436,0.0012380061357936856,-0.0038521911100599113
10-18-0.pt,-0.001334499381026739,-0.0005020967310021894,-0.0037263715282123654,-0.00024784268127334353,-0.0001310579377208252,6.832136094360373e-05,0.00048541599825257414,-0.00010633932514959873,0.000888156184036036,-0.0017683908209791322,0.0013192218497096214,-0.0006071168813603889,-0.0012708198274625623,-0.00046538978599024156,-0.0010685240122134576,-0.000591349607191787,-0.0004116901121341842,-0.0005591978708963044,-0.0005204924526593422,-0.0007685804058802791,-0.0014738213081837129,-0.0028917900443053215,-0.0021738283450749955,-0.003301332584348432,-0.0016841619036352415,-0.0008089036557729441,-0.0012348928393073003,-0.002184004923507815,-0.000963776419510714,-0.000221006601564715,-0.001100510156135139,-0.0013790141713502816,-0.0012334246958189735,-0.00363202014051862,-0.0005778247659656255,-0.004753154686870335,-0.0005557352211283474,-0.0056686016438960395,-0.0004394697745338503,-0.0008776321618644621,-0.0004189368690114771,-0.006386651554352714,-0.004404846714818734,-0.0009003098059990758,-0.0031465574907068557,-0.003886668817109707,-0.004334523562222471,-0.00020169648061722602,-5.663246547662987e-05,0.00043029503395399486,-0.00016974370458405766,-7.520089041900029e-05,0.00033089560681391297,0.0010181945876905556,0.0015288476693996662,0.0017369170074874618,0.004061717738395485,-0.0017718313183561676,0.0004402480729083209,-5.5605473033617986e-05,0.0012477964642622818,0.001599899164539144,0.0014770846159642824,-0.00355959368781094
10-19-0.pt,-0.0018150467920255988,-0.0007655906901389535,-0.004646092030841414,-0.0003219091499457011,-0.0008391221955646834,-0.00047498754907150697,0.00020074293081904574,-0.0001478589213662851,-0.0010942653343991825,-0.00213738118106197,-0.00032460268310125753,-0.0008822792191063187,-0.001871929460143078,-0.0007155095637083905,-0.001725582709161871,-0.0010293790995060642,-0.0005529262233740427,-0.0007258952356916826,-0.0009587924047611879,-0.0015804535600602689,-0.0021003022989042382,-0.004150417021599786,-0.0031837729188663754,-0.004324794573976677,-0.0027716129534279604,-0.0015097949130188925,-0.0016910379231753472,-0.003183362803373292,-0.0014267067325204675,-0.0007275929285247244,-0.0014820524389884257,-0.0018354844686152474,-0.0017873949589922327,-0.0046920326321509215,-0.0005867469039815656,-0.0057633026834188,-0.0005628945703806678,-0.006880009434483491,-0.0004475947829645576,-0.0008941071074496276,-0.0004283091673654681,-0.007697694971543482,-0.0059654750739912814,-0.0013399762342055264,-0.004301571356505015,-0.0053364192596269625,-0.005806902657955481,-0.0002718102345093405,-5.8289184843385915e-05,-0.000612370861982762,-0.00024872583348390737,-7.70039832083527e-05,-0.0006947782042614456,-0.00026713361195542754,-0.00020342451904051793,-0.00029849730721414003,-0.00014660179585926884,-0.002677014625449035,-0.000760617278952166,-0.0004434181617188377,-0.0008326291915258757,-0.000780999250968019,-0.0008667344917625713,-0.004860201017371537
