,optimal_feasible_diff,optimal_timeout_diff,timeout_feasible_diff,std_optimal,std_feasible,std_timeout
n_jobs_shap,-1.3623425863052954,-1.5821991963659412,0.21985661006064594,0.3054625437348722,0.1808911815187569,0.031505837742388874
n_machines_shap,0.04523238648646738,-0.20048664323294066,0.24571902971940804,0.10870975456901825,0.3009040114691001,0.06078473015652958
num_nodes_shap,-0.09392811517044775,-1.0812813628942188,0.9873532477237712,0.19735454296404778,0.4195354890867348,0.1853729879523366
node_x_col0_max_shap,0.059996121425949095,0.037646188575670037,0.02234993285027906,0.5705177359023551,0.06778508414661094,0.006712175465023116
node_x_col0_mean_shap,0.051111316786883854,-0.8541451431780577,0.9052564599649415,0.1540645075570807,0.281275418835697,0.32023695043193745
node_x_col0_median_shap,0.045798871428039206,-0.1399967768570553,0.1857956482850945,0.07918000256132385,0.16326997818969505,0.0825036961356053
node_x_col0_std_shap,0.01777172106290348,0.000995276017075275,0.016776445045828203,0.065478882124173,0.11377371795697674,0.09463877763720091
node_x_col0_range_shap,0.07268572901970309,0.06405989817962847,0.008625830840074629,0.5574949897700595,0.0554436811599584,0.0037790432267898843
node_x_col0_q1_shap,-0.03284183013681713,-0.1402874247234998,0.10744559458668268,0.07919339215938716,0.1858689617347504,0.05184954791712474
node_x_col0_q3_shap,0.05601054492569357,-1.0111651539277555,1.067175698853449,0.16821698153045717,0.3449013559237523,0.2758048513273953
node_x_col0_gini_shap,-0.010997435152038944,-0.3620852568739958,0.35108782172195685,0.13664538164156328,0.2527752547172992,0.18703403128036694
node_x_col1_max_shap,0.030745989471903434,-0.1251359963637952,0.15588198583569862,0.11454948989090916,0.3158229176818933,0.04851211603992932
node_x_col1_mean_shap,0.08423515312721333,-0.20108344443660153,0.28531859756381484,0.14092066502820802,0.3133699642909306,0.06787805429516361
node_x_col1_median_shap,-0.03336877919944925,-0.056010645791179564,0.022641866591730314,0.15412064392277103,0.2685731130578892,0.09515702263314683
node_x_col1_std_shap,0.021221221465508644,-0.11677992705421514,0.13800114851972378,0.08010946006415645,0.27900218622998846,0.0963974680945698
node_x_col1_range_shap,0.022322938046074083,-0.11084801548460835,0.13317095353068242,0.09930834924617851,0.29405216579761195,0.07385474546300651
node_x_col1_q1_shap,0.10451449926239989,-0.32130101142156503,0.42581551068396495,0.22015687586445168,0.28272852874773335,0.0901264881789249
