exact_class_id,n_permutations,n_distinct_perm_tuples,makespan_mean,makespan_median,makespan_min,makespan_max,failures_mean,failures_median,failures_max,nSolutions_mean,nSolutions_median,solveTime_mean,time_mean,propagations_mean,opt_rate,b_00,b_01,b_02,b_03,b_10,b_11,b_12,b_13,b_20,b_21,b_22,b_23,b_30,b_31,b_32,b_33,betweenness_mean,betweenness_std,betweenness_range,row_dispersion,col_dispersion,diag_proxy,anti_diag_proxy,matrix_json,macro_class_id
428,144,144,20.0,20.0,20,20,0.0,0.0,0,4.333333333333333,4.0,18.90467361111111,119.91666666666667,451.1736111111111,1.0,0.05,0.05,0.058333333333,0.058333333333,0.05,0.05,0.058333333333,0.058333333333,0.058333333333,0.058333333333,0.05,0.05,0.058333333333,0.058333333333,0.05,0.05,0.054166666666499996,0.004166666666499997,0.008333333332999994,1.962615573354719e-17,1.962615573354719e-17,0.2,0.233333333332,"[[0.05, 0.05, 0.058333333333, 0.058333333333], [0.05, 0.05, 0.058333333333, 0.058333333333], [0.058333333333, 0.058333333333, 0.05, 0.05], [0.058333333333, 0.058333333333, 0.05, 0.05]]",0
429,144,144,20.0,20.0,20,20,0.020833333333333332,0.0,2,4.006944444444445,4.0,18.873631944444444,115.16666666666667,470.4583333333333,1.0,0.045588235294,0.045588235294,0.059068627451,0.059068627451,0.045588235294,0.059068627451,0.045588235294,0.059068627451,0.059068627451,0.045588235294,0.059068627451,0.045588235294,0.059068627451,0.059068627451,0.045588235294,0.045588235294,0.0523284313725,0.0067401960784999985,0.013480392156999997,0.0,0.0,0.20931372549,0.20931372549,"[[0.045588235294, 0.045588235294, 0.059068627451, 0.059068627451], [0.045588235294, 0.059068627451, 0.045588235294, 0.059068627451], [0.059068627451, 0.045588235294, 0.059068627451, 0.045588235294], [0.059068627451, 0.059068627451, 0.045588235294, 0.045588235294]]",0
432,144,144,20.0,20.0,20,20,0.0,0.0,0,4.395833333333333,4.0,19.47967361111111,118.76388888888889,421.49305555555554,1.0,0.054411764706,0.054411764706,0.055759803922,0.055759803922,0.054411764706,0.055759803922,0.054411764706,0.055759803922,0.055759803922,0.054411764706,0.055759803922,0.054411764706,0.055759803922,0.055759803922,0.054411764706,0.054411764706,0.055085784314000005,0.000674019607999999,0.001348039215999998,1.3877787807814457e-17,1.3877787807814457e-17,0.22034313725600002,0.22034313725600002,"[[0.054411764706, 0.054411764706, 0.055759803922, 0.055759803922], [0.054411764706, 0.055759803922, 0.054411764706, 0.055759803922], [0.055759803922, 0.054411764706, 0.055759803922, 0.054411764706], [0.055759803922, 0.055759803922, 0.054411764706, 0.054411764706]]",0
433,144,144,20.0,20.0,20,20,0.020833333333333332,0.0,3,4.291666666666667,4.0,18.977770833333334,111.65972222222223,441.22222222222223,1.0,0.04900210084,0.04900210084,0.052205882353,0.052205882353,0.04900210084,0.04900210084,0.052205882353,0.052205882353,0.052205882353,0.052205882353,0.04900210084,0.04900210084,0.052205882353,0.052205882353,0.04900210084,0.04900210084,0.0506039915965,0.0016018907564999997,0.0032037815129999994,0.0,0.0,0.19600840336,0.208823529412,"[[0.04900210084, 0.04900210084, 0.052205882353, 0.052205882353], [0.04900210084, 0.04900210084, 0.052205882353, 0.052205882353], [0.052205882353, 0.052205882353, 0.04900210084, 0.04900210084], [0.052205882353, 0.052205882353, 0.04900210084, 0.04900210084]]",0
278,288,288,21.166666666666668,21.0,21,22,0.1527777777777778,0.0,3,5.347222222222222,5.0,19.573506944444446,117.91319444444444,391.19444444444446,1.0,0.039705882353,0.048284313725,0.06262254902,0.071200980392,0.039705882353,0.06262254902,0.048284313725,0.071200980392,0.071200980392,0.048284313725,0.06262254902,0.039705882353,0.071200980392,0.06262254902,0.048284313725,0.039705882353,0.0554534313725,0.012234818101738402,0.031495098039,0.0,0.0,0.20465686274599998,0.23897058823400003,"[[0.039705882353, 0.048284313725, 0.06262254902, 0.071200980392], [0.039705882353, 0.06262254902, 0.048284313725, 0.071200980392], [0.071200980392, 0.048284313725, 0.06262254902, 0.039705882353], [0.071200980392, 0.06262254902, 0.048284313725, 0.039705882353]]",0
279,1152,1152,21.166666666666668,21.0,21,22,0.052083333333333336,0.0,7,4.822916666666667,5.0,19.044444444444444,116.84548611111111,400.0685763888889,1.0,0.041421568627,0.042647058824,0.055759803922,0.066176470588,0.045343137255,0.052941176471,0.045955882353,0.064950980392,0.057475490196,0.055882352941,0.049509803922,0.059803921569,0.06237745098,0.055269607843,0.065318627451,0.042769607843,0.0539751838235625,0.008271374421296296,0.024754901960999998,0.00844849732546658,0.011038046388619067,0.18664215686299998,0.23039215686199999,"[[0.041421568627, 0.042647058824, 0.055759803922, 0.066176470588], [0.045343137255, 0.052941176471, 0.045955882353, 0.064950980392], [0.057475490196, 0.055882352941, 0.049509803922, 0.059803921569], [0.06237745098, 0.055269607843, 0.065318627451, 0.042769607843]]",0
280,288,288,21.166666666666668,21.0,21,22,0.2013888888888889,0.0,8,5.152777777777778,5.0,19.224659722222224,117.90277777777777,344.47569444444446,1.0,0.04987745098,0.050490196078,0.050735294118,0.065318627451,0.04987745098,0.050490196078,0.050735294118,0.065318627451,0.04987745098,0.050735294118,0.050490196078,0.065318627451,0.04987745098,0.050735294118,0.050490196078,0.065318627451,0.054105392156750004,0.006481499360427109,0.015441176471000004,1.962615573354719e-17,0.02592368024122055,0.216176470587,0.21666666666700002,"[[0.04987745098, 0.050490196078, 0.050735294118, 0.065318627451], [0.04987745098, 0.050490196078, 0.050735294118, 0.065318627451], [0.04987745098, 0.050735294118, 0.050490196078, 0.065318627451], [0.04987745098, 0.050735294118, 0.050490196078, 0.065318627451]]",0
299,288,288,21.166666666666668,21.0,21,22,0.14930555555555555,0.0,3,5.34375,5.0,19.412368055555554,118.99652777777777,368.84722222222223,1.0,0.035784313725,0.035784313725,0.066176470588,0.066176470588,0.035784313725,0.035784313725,0.066176470588,0.066176470588,0.064093137255,0.064093137255,0.063848039216,0.063848039216,0.064093137255,0.064093137255,0.063848039216,0.063848039216,0.057475490196,0.012556042669645428,0.030392156862999994,0.02598039215800001,0.03014705882400001,0.19926470588200001,0.26053921568599997,"[[0.035784313725, 0.035784313725, 0.066176470588, 0.066176470588], [0.035784313725, 0.035784313725, 0.066176470588, 0.066176470588], [0.064093137255, 0.064093137255, 0.063848039216, 0.063848039216], [0.064093137255, 0.064093137255, 0.063848039216, 0.063848039216]]",0
301,576,576,21.166666666666668,21.0,21,22,0.026041666666666668,0.0,3,4.96875,5.0,19.565086805555556,118.80208333333333,376.38368055555554,1.0,0.032913165266,0.032913165266,0.060294117647,0.060294117647,0.041684173669,0.041684173669,0.06293767507,0.06293767507,0.064355742297,0.064355742297,0.052345938375,0.052345938375,0.069572829132,0.069572829132,0.067279411765,0.067279411765,0.056422881652625,0.012235718145477834,0.036659663865999996,0.03231844284634033,0.017165616246499996,0.194222689075,0.25716036414599996,"[[0.032913165266, 0.032913165266, 0.060294117647, 0.060294117647], [0.041684173669, 0.041684173669, 0.06293767507, 0.06293767507], [0.064355742297, 0.064355742297, 0.052345938375, 0.052345938375], [0.069572829132, 0.069572829132, 0.067279411765, 0.067279411765]]",0
315,288,288,21.166666666666668,21.0,21,22,0.16319444444444445,0.0,4,5.409722222222222,5.0,20.167784722222223,117.61111111111111,399.14930555555554,1.0,0.033088235294,0.033088235294,0.054411764706,0.054411764706,0.033088235294,0.033088235294,0.054411764706,0.054411764706,0.063970588235,0.063970588235,0.060294117647,0.060294117647,0.063970588235,0.063970588235,0.060294117647,0.060294117647,0.0529411764705,0.011958423505336317,0.030882352941000002,0.036764705881999996,0.017647058824,0.186764705882,0.236764705882,"[[0.033088235294, 0.033088235294, 0.054411764706, 0.054411764706], [0.033088235294, 0.033088235294, 0.054411764706, 0.054411764706], [0.063970588235, 0.063970588235, 0.060294117647, 0.060294117647], [0.063970588235, 0.063970588235, 0.060294117647, 0.060294117647]]",0
