Unnamed: 0,n_jobs_shap,n_machines_shap,node_x_col0_max_shap,node_x_col0_mean_shap,node_x_col0_median_shap,node_x_col0_std_shap,node_x_col0_range_shap,node_x_col0_q1_shap,node_x_col0_q3_shap,node_x_col0_gini_shap,node_x_col1_max_shap,node_x_col1_mean_shap,node_x_col1_median_shap,node_x_col1_std_shap,node_x_col1_range_shap,node_x_col1_q1_shap,node_x_col1_q3_shap,node_x_col1_gini_shap,node_x_overall_mean_shap,node_x_overall_std_shap,num_conjunctive_edges_shap,num_disjunctive_edges_shap,num_nodes_total_shap,num_edges_total_shap,disj_graph_density_shap,deg_d_max_shap,deg_d_mean_shap,deg_d_median_shap,deg_d_std_shap,deg_d_range_shap,deg_d_q1_shap,deg_d_q3_shap,deg_d_gini_shap,clustering_max_shap,clustering_mean_shap,clustering_median_shap,clustering_std_shap,clustering_range_shap,clustering_q1_shap,clustering_q3_shap,clustering_gini_shap,conj_graph_density_shap,deg_c_max_shap,deg_c_mean_shap,deg_c_std_shap,deg_c_range_shap,deg_c_q3_shap,deg_c_gini_shap,betweenness_min_shap,betweenness_max_shap,betweenness_mean_shap,betweenness_median_shap,betweenness_std_shap,betweenness_range_shap,betweenness_q1_shap,betweenness_q3_shap,betweenness_gini_shap,makespan_min_shap,makespan_range_shap,operation_cost_mean_shap,operation_cost_std_shap,makespan_lb_job_sum_shap,makespan_lb_machine_sum_shap,makespan_lb_meanload_shap,num_op_nodes_shap
10-10-0.pt,-0.7507072915155891,-0.08064676947047378,-0.5723375715282093,-0.17931286261441004,-0.017102631686533698,-0.289853155993159,-0.52016949274005,-0.5155838074795784,-0.3235576718910739,-0.20395541123904581,-0.008909415629985262,-0.12204271557223756,-0.17017487389422037,-0.0669870101011566,0.012486675629775235,-0.27374108668788655,-0.0513191247268141,-0.06536363879588092,-0.06673805687872214,-0.3893894677888108,-0.5581037189937283,-0.5731052401007175,-0.4606214033085041,-0.529847018914935,0.0861786604896293,-0.7883810155186062,-0.7281207381528221,-0.7534041729674796,-0.3175024504354924,-0.6876602289331077,-0.7553833370416023,-0.7569253009232877,-0.5414701390523293,0.13180349973576955,-0.5123969943993067,-0.8186403415931168,-0.39915462666180357,0.28613018076492147,-0.45700758922844664,-0.5549426835758455,-0.44252716448088547,-0.4284959506291186,-0.7626817106770122,-0.08903289064307363,-0.18650384007194676,-0.7769803879548092,0.3585602717158931,-0.12381034441024619,-0.8256070178960089,-0.6051419212931036,-0.8293728015290978,-0.8043031432073,-0.25462371538080864,-0.7966384212707799,-0.8262332308643641,-0.7284399691773036,0.034187691003886744,0.08387715068662915,-0.5588410645415345,-0.1054798192120141,-0.25959105679679817,0.061723700319664454,-0.6117889490397566,-0.860942275670604,-0.5490557011264894
10-11-0.pt,-0.6934857195666491,-0.01424008284692857,-0.4237717019379865,-0.08839711798618011,0.14480252642922986,-0.13558830152965218,-0.31416990673265466,-0.3699909467142728,-0.2064248685063984,-0.1010973153326219,0.024236044895089126,-0.11133274139154847,-0.12856758541406044,-0.0060400644870231,0.029605616960487025,-0.18125279316703902,-0.02301949200986564,-0.020565837029145717,-0.05613923016725053,-0.32687443871057775,-0.4812312320745934,-0.5358348792408023,-0.37318893843914247,-0.4796481209664095,0.16780769593945521,-0.7423429131843473,-0.6635785637179147,-0.6882087391948195,-0.2525594361400204,-0.6337572758056738,-0.7015411574004413,-0.7133340557379801,-0.4593168117118047,0.1347550346547619,-0.427482506992503,-0.7242057055163121,-0.3293813910181036,0.2850599291607341,-0.45861119897163005,-0.5023472776960636,-0.3954307993083426,-0.35883528323534697,-0.7083353610866622,-0.08764521365994549,-0.14051977671014315,-0.7301420790830303,0.36033865434936563,-0.10989058374104,-0.7998427121869358,-0.5255938383564371,-0.7791736107112993,-0.7723458724065089,-0.22056514202007116,-0.7451984785646312,-0.7758666512135468,-0.6738455367059244,0.08876979095283066,0.1083361183930136,-0.4830291668154686,-0.05511011975972335,-0.1078530270018544,0.07249024945442706,-0.5855700037079754,-0.8224213423607729,-0.4756707938897945
10-12-0.pt,-0.735025282409981,-0.00215907906097923,-0.4613244837588486,-0.11856294071071927,0.0664794164741036,-0.2547257591030221,-0.3792778207170261,-0.4873902184324227,-0.21912684946071204,-0.09447747147592822,0.055406369020012836,-0.08208140135882436,-0.14122036173544228,-0.017730532242202002,0.09820712276252253,-0.23214512927780206,-0.034320510599844534,-0.04483990594879472,-0.09701407337767864,-0.3844024557701812,-0.5183008664897164,-0.5516223985568646,-0.4152707815550194,-0.5023870039575591,0.13206617739217963,-0.769993118261426,-0.6992797952140941,-0.7187915791247217,-0.27028244140333746,-0.6804881291089258,-0.7393461761991758,-0.7391849200391181,-0.4975778041301957,0.13637117049940417,-0.46466288596388383,-0.7403704150521658,-0.3443002777007027,0.29491436636372503,-0.45648620014152674,-0.527783491422613,-0.4094705651636754,-0.40625119174226876,-0.7417057012723868,-0.07738962499891744,-0.17763258193472753,-0.7639856280071585,0.36069735535898917,-0.09928161287299919,-0.8166428090683785,-0.5944030666144511,-0.8009026543987542,-0.7938007486449512,-0.2684953502651667,-0.7791446108986817,-0.8236688595390814,-0.7241534322944603,0.085334707270454,0.14461136932152097,-0.5137730854082088,-0.06582126537440947,-0.14944098378221105,0.0902609413475357,-0.6873058648311459,-0.8391417085162965,-0.5027483908471334
10-13-0.pt,-0.7335270787669659,-0.00025302899683066205,-0.4687449270231483,-0.10202416803257008,0.08950788042140112,-0.26713159552052923,-0.34409231893655456,-0.39633098091124175,-0.3059521216316845,-0.01507387502084534,0.08212538718526186,-0.027969959543916234,-0.2013367054213827,-0.015479124081127393,0.09559560702475745,-0.18993447089673832,-0.06149347393003246,-0.04058163034589335,-0.12442043697083083,-0.33858790651256276,-0.5219039772862075,-0.5477809741558002,-0.4313414082945426,-0.49299180884060245,0.14286611537744176,-0.7828429514028163,-0.7069179504569082,-0.7378104369115477,-0.27016571871272943,-0.6722843796138083,-0.7331108263808717,-0.7423821429780055,-0.5142800051222178,0.12686646798898704,-0.4670770011291129,-0.7646772687357322,-0.3593436161488873,0.2684628064113528,-0.4601426396608834,-0.5271013165590244,-0.41166340942481083,-0.4255816218044507,-0.7346496657683128,-0.06858640680014005,-0.19621072361230296,-0.7810842827377742,0.3612960550716937,-0.08542019563144243,-0.8367012504183189,-0.6004887541913229,-0.7996138532229764,-0.7957309411035471,-0.28094174422076035,-0.7872712672812887,-0.8481468309966677,-0.7165801143463306,0.12224696782304578,0.13901806760292978,-0.5203979599226614,-0.10287859007731748,-0.1620336366493207,0.08718315841053115,-0.5870411505663314,-0.8406977014149952,-0.5228346766520171
10-14-0.pt,-0.7382147609785261,0.019884387690769056,0.2882867531180886,-0.19961559636876136,-0.08020953157500577,-0.26747441954614093,0.26025024913812733,-0.44303366684626677,-0.2122980531814136,-0.017505655721998914,0.07105788859988937,-0.01893500091078426,-0.18378002637017898,0.0565539142799536,0.12209771142079218,-0.16728090379477134,-0.003826873301341238,-0.014032856839414798,0.045540526219968624,-0.36761997672526847,-0.5273900864113338,-0.5256911027099727,-0.4246163329700442,-0.49459613463796104,0.14881575517671686,-0.7805480155910465,-0.7031141273209631,-0.7150671289964263,-0.29297053623085356,-0.6844664560868425,-0.7437361745171929,-0.7429581132759605,-0.518419140352752,0.13040292586098245,-0.47075010306911247,-0.6822288506457517,-0.3514379210550169,0.29315761738076396,-0.45822674712776656,-0.5214100537590824,-0.42357137452701843,-0.4130458971947851,-0.7274473458571313,-0.08196684101909923,-0.2166748311070904,-0.7483152939625303,0.3612504727394825,-0.09000193362164788,-0.835453624466273,-0.5994935808080013,-0.7916216823901316,-0.8269463027584035,-0.2964507923047337,-0.7832250923935541,-0.8326299391627691,-0.7187350878160887,0.13319694952801275,0.24882854986645864,-0.5083321028808756,-0.07950873651177337,-0.12960979891353586,0.26053571052602353,-0.5095140694677807,-0.8162681469397259,-0.5130568810144587
10-15-0.pt,-0.7438284530274546,0.012471093613114714,0.378614295474899,0.1969954014329207,-0.03354178093006355,-0.2805562757827951,0.3546452111191194,-0.23977155653599735,-0.22024770302170282,0.16305317900946292,0.07385074768376398,-0.014469714552795332,-0.06082553396687462,0.054638332870408535,0.09747704040160166,-0.14418712408980405,0.04443010732595232,0.050715267084713966,0.14663502850707877,-0.3759025053181436,-0.5225583487625294,-0.5272017101500637,-0.4095455145707755,-0.4933043717119132,0.1935038453149096,-0.7971203202359568,-0.7289613959536859,-0.725112412323987,-0.2949647594815056,-0.6976880367865996,-0.7483929692978925,-0.7559705676481927,-0.5070595605958572,0.13472790450623906,-0.4372600568114736,-0.6824133676267342,-0.3497923555362157,0.2922263362390527,-0.45700508592594047,-0.5213075013717301,-0.4130581468939649,-0.3873558510538797,-0.739097636598985,-0.03232673668435082,-0.2854119719141611,-0.7597592050213111,0.36178436230306255,-0.030101404378602314,-0.8254110741397083,-0.616521825059844,-0.7908744137646586,-0.8408026274697797,-0.2998631284244889,-0.7936262402663457,-0.8409379566579417,-0.7362000855713204,0.14542585214050519,0.2345155577237874,-0.47765388199134573,0.24583587750468383,-0.15879471274049406,0.23701043625861407,-0.46031266035710805,-0.8135103371267707,-0.4894830375269359
10-16-0.pt,-0.7239771901086067,0.04859785536265426,0.43393407180146126,-0.1559353735856125,-0.10663698502794683,-0.2687809093451289,0.428284906974588,-0.4784323769748592,-0.24194198727356053,-0.01978040553948146,0.09506305696843542,0.010228278386864575,-0.0790710821318169,0.1186173072263561,0.13960017093954957,-0.17917823578110348,0.03959208226835398,0.04849720582921013,0.11286995414409207,-0.3724521558691569,-0.44758514742507405,-0.5286940418439274,-0.3710613353397121,-0.497458325398104,0.197039282402236,-0.7517277008579821,-0.7090921053965945,-0.6903462980292545,-0.36138679462705803,-0.6752048729512712,-0.7114217120459119,-0.7474680180975146,-0.438486155446704,0.14181343309113292,-0.3915213978721126,-0.6838754292539877,-0.37497387497882606,0.2936755841331944,-0.448562550030011,-0.516239369026654,-0.42674110164365,-0.3576157809881326,-0.7126516257053535,-0.020769130085183773,-0.28158024118394365,-0.7451424054207321,0.3647207263014103,-0.014735850537380024,-0.8131977305209181,-0.6283374598010627,-0.7533161489933552,-0.8047393480246177,-0.3221289508666688,-0.7735634840715699,-0.828094902639364,-0.7197112891726671,0.14834269279661427,0.25594498642628305,-0.48015070386736247,0.10985139048191694,-0.18171557791505477,0.25607848837853364,-0.2660710177604404,-0.7790597832803504,-0.3905781838136032
10-17-0.pt,-0.6832456333506483,0.12330384325071764,0.5576001516370808,0.0381799005558634,0.03815550560726666,-0.27487966439230016,0.5663436146405088,-0.35495030778843173,-0.20484764670621636,0.19054289630217958,0.14054604950331617,0.05428868962674027,0.004171867861655132,0.12817025208764488,0.18287003553710912,0.03961417220648533,0.08393137444881549,0.09110120320239101,0.1903532306395126,-0.3187045424554035,-0.3842389188152181,-0.5060369956417518,-0.2819591560725121,-0.47260015770235964,0.2254980557983688,-0.7482945353803088,-0.6972036215232527,-0.6714474899791241,-0.31643763583654805,-0.6416947643205714,-0.7071478012995921,-0.7332893054050972,-0.38540602157815307,0.14042735679813556,-0.3093644977985506,-0.6784851529993066,-0.35428402583238394,0.2967908445827565,-0.44986179558668404,-0.5183052044467383,-0.4135126143957195,-0.2515166658087715,-0.7024259017774095,-9.950053981599982e-05,-0.32083247465759,-0.7459647962096378,0.3634375730155259,-0.0242355725789849,-0.7969073412653376,-0.5987222950269431,-0.7435405589623669,-0.7802438553677742,-0.25721954601127117,-0.7539678347229855,-0.7803310347381841,-0.662557406866191,0.17762623123041865,0.33678174073262057,-0.3957617088568768,0.3499151241529075,-0.16126814750487317,0.3314548115320435,-0.4877073838949766,-0.7508714809224915,-0.32227427367067585
10-18-0.pt,-0.7058305961516848,0.07680956922104731,0.447966469345185,-0.14618549245403134,-0.10534659028624216,-0.3041364502648912,0.3941963958619481,-0.4256554242540941,-0.2755353641415659,0.15424361267859488,0.09697070281186426,0.04409032161797333,-0.021225748942467315,0.10299755590119264,0.14204744847884698,-0.01331735137405643,0.07670110948090736,0.10342515550216036,0.17142499746035056,-0.31232039700747405,-0.4452734408289637,-0.5362187788086202,-0.3344366652884323,-0.5020243115253655,0.20301156441793156,-0.7706190352717558,-0.7132863239397492,-0.6992995610033703,-0.3386979035797548,-0.6613055213098125,-0.7163120128421055,-0.750711239044964,-0.4329085605259638,0.14189019660843405,-0.34771241934660824,-0.6778964301699189,-0.4093173176528385,0.29306717902293133,-0.44970326743779954,-0.5181161033500405,-0.45642950446032127,-0.31666763709568446,-0.7199721322383499,-0.05139393434152917,-0.3669066908678882,-0.7504143934084562,0.3641934335576802,-0.03760581201339719,-0.8285114946772995,-0.648600238647812,-0.756042765945709,-0.8184266476616154,-0.3141897096901547,-0.7905349371579744,-0.8355287993381841,-0.7084317631296818,0.14186016257788947,0.31418429691356065,-0.443308687116551,0.042394697308515195,-0.24285973498351288,0.3055351689492074,-0.37954319233633493,-0.7630310988687802,-0.3870700863990658
10-19-0.pt,-0.6981265951045472,0.06770701023417591,0.47481471032063505,-0.1756282381100338,0.011717001132096616,-0.2884911204316386,0.4402396578985963,-0.5146236845292669,-0.2818386461697141,0.09410941891005775,0.09798842489648973,0.026617158229093718,-0.08955164557726547,0.08507389554200828,0.14714652805482098,0.009927566112646335,0.055162968022578474,0.14756157402513126,0.14569043555714156,-0.3009323374281938,-0.419104273449561,-0.5217509764927968,-0.3138398367247297,-0.48471818058949334,0.24703130624766256,-0.7579785241720074,-0.6934380621277842,-0.6896271131334206,-0.3377157815889841,-0.6458472232717487,-0.7106396811804935,-0.7428533912314859,-0.4025351444245352,0.14086794884074716,-0.3337385811158289,-0.6785494219781643,-0.37435804646449455,0.29289003727746543,-0.4497594883465773,-0.5202194293935245,-0.4319534635919443,-0.28711426870282863,-0.709381051131016,-0.015150662974289242,-0.3565306546192193,-0.7534550903801857,0.362830158748799,-0.012970665709540752,-0.8144592079493873,-0.6204077099980679,-0.7477728254064434,-0.8069505376413577,-0.2845318999488753,-0.7870029150461593,-0.8031732245536528,-0.6864356360620063,0.1323910736835514,0.3084396849216071,-0.4082296325212106,-0.1570433325918661,-0.22275865584137,0.2809882347115247,-0.5322408023321714,-0.7594092259269036,-0.350208698641042
