num_conjunctive_edges,num_disjunctive_edges,num_nodes_inferred,num_nodes_total,num_edges_total,betweenness_mean,betweenness_range,perm,perm_idx,signature
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(5, 3, 4)",202,1+1+1
12,18,11,11,30,0.10699588477366255,0.08280423280423281,"(5, 3, 5)",203,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(5, 4, 0)",204,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629632,"(5, 4, 1)",205,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(5, 4, 2)",206,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(5, 4, 3)",207,1+1+1
12,18,11,11,30,0.10699588477366256,0.08280423280423284,"(5, 4, 4)",208,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(5, 4, 5)",209,2+1
12,18,11,11,30,0.07950617283950617,0.043333333333333335,"(5, 5, 0)",210,2+1
12,18,11,11,30,0.09283950617283951,0.07555555555555556,"(5, 5, 1)",211,2+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(5, 5, 2)",212,2+1
12,18,11,11,30,0.10699588477366254,0.08280423280423281,"(5, 5, 3)",213,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(5, 5, 4)",214,2+1
12,18,11,11,30,0.1185185185185185,0.08888888888888888,"(5, 5, 5)",215,3
