exact_class_id,n_instances,signed_diff_m0,signed_diff_m1,signed_diff_m2,abs_diff_m0,abs_diff_m1,abs_diff_m2,mean_perm_matrix_json,std_perm_matrix_json,distinct_col_sums,distinct_col_sums_group
0,6,-3.2,0.8,2.4,3.2,3.2,3.2,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]","[[0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]","[6, 6, 6]"
1,36,-2.146031746031746,0.273015873015873,1.873015873015873,2.342857142857143,1.6,2.342857142857143,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]","[[0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726]]","[[1, 2, 2], [2, 2, 1], [1, 2, 2], [1, 2, 2], [2, 2, 1], [2, 2, 1], [1, 2, 2], [1, 2, 2], [1, 2, 2], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1], [1, 2, 2], [1, 2, 2], [1, 2, 2], [1, 2, 2], [1, 2, 2], [1, 2, 2], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1], [1, 2, 2], [1, 2, 2], [1, 2, 2], [2, 2, 1], [2, 2, 1], [1, 2, 2], [1, 2, 2], [2, 2, 1], [1, 2, 2]]","[54, 72, 54]"
2,36,-1.1047619047619048,0.3238095238095238,0.780952380952381,1.6,1.6,1.6,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]","[[0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726]]","[[2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 2]]","[72, 72, 72]"
3,18,-0.7320261437908496,0.7058823529411765,0.026143790849673203,1.6470588235294117,2.823529411764706,1.6470588235294117,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]","[[0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726]]","[[2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2], [2, 1, 2]]","[36, 18, 36]"
4,36,-1.2253968253968255,0.0,1.2253968253968255,1.6,0.0,1.6,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]","[[0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726]]","[[2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2], [2, 3, 2]]","[72, 108, 72]"
5,72,-0.4788732394366197,0.26917057902973396,0.20970266040688576,1.0704225352112675,1.5774647887323943,1.0704225352112675,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]","[[0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726]]","[[2, 2, 3], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [2, 2, 3], [2, 2, 3], [2, 2, 3], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [3, 2, 2], [3, 2, 2], [3, 2, 2], [2, 2, 3], [3, 2, 2], [3, 2, 2], [3, 2, 2], [2, 2, 3], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [2, 2, 3], [3, 2, 2], [3, 2, 2], [3, 2, 2], [2, 2, 3], [3, 2, 2], [3, 2, 2], [3, 2, 2], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [2, 2, 3], [2, 2, 3], [2, 2, 3], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [3, 2, 2], [3, 2, 2], [2, 2, 3], [2, 2, 3]]","[180, 144, 180]"
6,12,0.0,0.0,0.0,0.0,0.0,0.0,"[[1.0, 1.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 1.0]]","[[0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726], [0.816496580927726, 0.816496580927726, 0.816496580927726]]","[[3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3], [3, 3, 3]]","[36, 36, 36]"
