paths,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,evaluatedHalfReifiedConstraints,method,flatTime,objective,objectiveBound,boolVariables,failures,propagations,solveTime,time,nSolutions,perm_idx,perm,status,timeout_ms
0,18,20,9,38,18,minimize,66.626,,13,16,1,229,17.805,101.0,2,41,"(1, 0, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.437,,14,13,2,268,21.979,210.0,2,42,"(1, 1, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,65.92699999999999,,14,12,0,121,8.709,207.0,1,43,"(1, 1, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.218,,13,15,0,334,11.897,102.0,4,44,"(1, 1, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.764,,14,10,0,103,12.092,100.0,2,45,"(1, 1, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.739,,14,13,1,136,19.886,107.0,1,46,"(1, 1, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.194,,13,13,0,93,15.932000000000002,99.0,1,47,"(1, 1, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.97699999999999,,14,17,0,283,18.663,99.0,3,48,"(1, 2, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.541,,13,18,0,282,16.91,101.0,3,49,"(1, 2, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.745,,13,10,0,102,21.149,98.0,3,50,"(1, 2, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.887,,13,19,0,348,13.671000000000001,98.0,3,51,"(1, 2, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.452,,13,17,0,313,17.637,105.0,4,52,"(1, 2, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.86,,12,16,0,135,7.432,104.0,2,53,"(1, 2, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.33999999999999,,14,13,1,147,18.411,101.0,2,54,"(1, 3, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.758,,14,12,0,127,17.57,99.0,2,55,"(1, 3, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.884,,13,22,0,343,9.665,110.0,4,56,"(1, 3, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.29199999999999,,14,14,1,247,23.711,103.0,2,57,"(1, 3, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.241,,13,17,0,178,22.488,102.0,3,58,"(1, 3, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,76.444,,14,20,3,309,9.597,113.0,2,59,"(1, 3, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.032,,13,18,0,210,23.722,103.0,3,60,"(1, 4, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.673,,14,17,1,338,20.811,104.0,3,61,"(1, 4, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,72.17899999999999,,13,16,1,258,34.136,106.0,3,62,"(1, 4, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.797,,13,10,0,97,18.238999999999997,100.0,2,63,"(1, 4, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.999,,14,9,1,97,15.495,102.0,1,64,"(1, 4, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.521,,13,17,1,225,16.341,210.0,2,65,"(1, 4, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,77.159,,13,15,1,240,16.86,113.0,3,66,"(1, 5, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.051,,13,10,0,101,16.298,101.0,2,67,"(1, 5, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.121,,12,13,0,127,23.598000000000003,96.0,3,68,"(1, 5, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.83,,14,14,1,138,12.716999999999999,97.0,1,69,"(1, 5, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.563,,13,15,0,156,20.538,99.0,2,70,"(1, 5, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.74900000000001,,13,13,0,93,17.405,98.0,1,71,"(1, 5, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,65.777,,14,14,1,288,14.395,98.0,2,72,"(2, 0, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,73.006,,14,13,2,322,7.854,110.0,2,73,"(2, 0, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.76899999999999,,14,18,0,273,16.052,114.0,3,74,"(2, 0, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.07,,13,10,0,106,21.916,207.0,2,75,"(2, 0, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,76.839,,14,13,1,141,9.269,108.0,1,76,"(2, 0, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,101.646,,13,13,1,176,15.107000000000001,134.0,2,77,"(2, 0, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,77.519,,14,14,1,137,20.840999999999998,111.0,1,78,"(2, 1, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.802,,13,14,0,96,21.555,103.0,1,79,"(2, 1, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,81.622,,13,9,0,74,12.433,115.0,2,80,"(2, 1, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,80.36500000000001,,13,11,0,104,23.419,114.0,2,81,"(2, 1, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,78.671,,13,15,0,161,8.418,112.0,2,82,"(2, 1, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,93.186,,12,14,0,86,18.609,127.0,1,83,"(2, 1, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,78.19500000000001,,14,14,2,266,17.999000000000002,111.0,2,84,"(2, 2, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,72.941,,13,13,0,95,12.081,108.0,1,85,"(2, 2, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,75.35300000000001,,14,12,0,124,7.406000000000001,102.0,1,86,"(2, 2, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.801,,14,14,1,147,19.417,99.0,1,87,"(2, 2, 3)",OPTIMAL_SOLUTION,1641.0
