scope_type,scope_value,benchmark_family,jobs,machines,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
file,la02,la,10,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-230.25850929940458,460.51701859880916,460.51701859880916,chi2_uniform_0_99_bins10,9.2,0.41902116661019306
file,la02,la,10,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-230.756025842063,461.512051684126,461.512051684126,chi2_uniform_0_100_bins10,16.256000000000004,0.061724306302049524
file,la02,la,10,5,discrete,poisson,"{""mu"": 52.86}",1,-503.71602177678017,1009.4320435535603,1011.3440665589885,,,
file,la02,la,10,5,continuous_exploratory,uniform,"[12.0, 87.0]",2,-223.29540593272918,450.59081186545836,454.41485787631467,KS_continuous,0.1160919540229885,0.4753983641588231
file,la02,la,10,5,continuous_exploratory,weibull_min,"[1.515071473190539, 10.236124748979616, 47.03400011453508]",3,-232.3876603609364,470.7753207218728,476.5113897381572,KS_continuous,0.1193129436499657,0.44093992737981125
file,la02,la,10,5,continuous_exploratory,expon,"[12.0, 40.86]",2,-235.5075794694738,475.0151589389476,478.8392049498039,KS_continuous,0.15408896932917826,0.16747001421184515
file,la02,la,10,5,continuous_exploratory,norm,"[52.86, 26.944394593310125]",2,-235.6356908049544,475.2713816099088,479.0954276207651,KS_continuous,0.12190280837769657,0.41424899482685607
file,la02,la,10,5,continuous_exploratory,gamma,"[22.053365808840077, -72.99844320956105, 5.691675401023275]",3,-235.0751578302285,476.150315660457,481.88638467674144,KS_continuous,0.11932783179496273,0.4407838304121562
file,la02,la,10,5,continuous_exploratory,lognorm,"[0.27773922532946016, -46.78852794340084, 95.94987473923588]",3,-235.08459031349497,476.16918062698994,481.9052496432744,KS_continuous,0.11898649626532909,0.4443701685859438
file,la03,la,10,5,discrete,discrete_uniform_minmax,"{""low"": 7, ""high"": 91}",2,-222.13256282451584,448.2651256490317,452.089171659888,chi2_uniform_minmax_bins10,11.719444444444441,0.22959172033975708
file,la03,la,10,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-229.75599250672948,459.51198501345897,459.51198501345897,chi2_uniform_1_99_bins10,11.402000000000001,0.24915673255374135
file,la03,la,10,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-230.25850929940458,460.51701859880916,460.51701859880916,chi2_uniform_1_100_bins10,12.0,0.21330930508341653
file,la03,la,10,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-230.25850929940458,460.51701859880916,460.51701859880916,chi2_uniform_0_99_bins10,14.0,0.12232522803866251
file,la03,la,10,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-230.756025842063,461.512051684126,461.512051684126,chi2_uniform_0_100_bins10,12.32618181818182,0.19553904111390844
file,la03,la,10,5,discrete,poisson,"{""mu"": 47.66}",1,-504.26217087133097,1010.5243417426619,1012.4363647480901,,,
