instance_id,jobs,machines,complexity_0_1,category,s_iforest,s_lof,s_mahalanobis,s_knn,complexity_prior_0_1,blend_w_unsup,blend_w_prior,blend_w_sup
10-10-0.pt,10,10,0.05695695432354365,easy,0.26685882287057205,0.12091873943540263,0.0005822668375709175,0.02134066466331898,0.35848715033272543,0.7,0.3,0.0
10-11-0.pt,10,11,0.02463398974352643,easy,0.21211121067516892,0.08752588370762028,0.00048646991508812117,0.014732487581790951,0.3709677708534326,0.7,0.3,0.0
10-12-0.pt,10,12,0.01764751659211909,easy,0.20387482688135045,0.058998464928455056,0.0004154708331663733,0.019475066414279946,0.3824141247444691,0.7,0.3,0.0
10-13-0.pt,10,13,0.06276554480168871,easy,0.2116938347613116,0.14302627361806328,0.0003598503412533309,0.022721620337782484,0.39318255983233086,0.7,0.3,0.0
10-14-0.pt,10,14,0.0598486321037973,easy,0.160477631095874,0.17490583771010654,0.0003153424597524441,0.021845823680918874,0.40313751109471707,0.7,0.3,0.0
10-15-0.pt,10,15,0.051323890737397605,easy,0.19370695296211518,0.10996305386408553,0.00027713955913328294,0.020237235495309393,0.4127282495588075,0.7,0.3,0.0
10-16-0.pt,10,16,0.029833177918078074,easy,0.153610468382176,0.09164559181154965,0.00024024648635809914,0.014978818951502711,0.4215165704167643,0.7,0.3,0.0
10-17-0.pt,10,17,0.06091556116788646,easy,0.18145717688531154,0.12401950658275421,0.00021201049791515686,0.019003442533746813,0.42988278778715594,0.7,0.3,0.0
10-18-0.pt,10,18,0.06064834416935571,easy,0.15979707722036054,0.13933112531369024,0.00018499418821101026,0.014418126510439203,0.43766655306784197,0.7,0.3,0.0
10-19-0.pt,10,19,0.031238212651398315,easy,0.13362063448349085,0.0912336763189615,0.00015689398906460484,0.007722266423355572,0.44502279096820474,0.7,0.3,0.0
10-2-0.pt,10,2,0.20292786790153883,hard,0.730504536922637,0.10645391047134711,0.06723026842604435,0.10329815694152722,0.174223712437981,0.7,0.3,0.0
10-20-0.pt,10,20,0.020091240365172743,easy,0.12170068947374468,0.06638358958852833,0.00013836247698175428,0.007910279912661255,0.45226446867821807,0.7,0.3,0.0
10-21-0.pt,10,21,0.05023213666335583,easy,0.12489622219501459,0.12280936640721228,0.00012365490142368478,0.012065403590294156,0.45925285108790054,0.7,0.3,0.0
10-22-0.pt,10,22,0.04193418761798882,easy,0.13256694861882115,0.09022732242499186,0.00010699751659167228,0.00815324334568843,0.46584683747313654,0.7,0.3,0.0
10-23-0.pt,10,23,0.049545676908673945,easy,0.13542473026186147,0.09833274335721857,9.334245571427612e-05,0.007158037646869419,0.47225120575490254,0.7,0.3,0.0
10-24-0.pt,10,24,0.07863615144416239,easy,0.12758926377819937,0.1624614486617807,8.21429498505651e-05,0.013202032818984334,0.4784025057214432,0.7,0.3,0.0
10-25-0.pt,10,25,0.07916816555740447,easy,0.11019422730548357,0.17239630387557892,7.438650244694023e-05,0.014035505009152136,0.48438242871597387,0.7,0.3,0.0
10-26-0.pt,10,26,0.044327076746679794,easy,0.09864280816195001,0.09915770048745753,6.699897866822964e-05,0.006249066342784503,0.49055270453358235,0.7,0.3,0.0
10-27-0.pt,10,27,0.04785704291444339,easy,0.10144246066549005,0.0951339598073316,5.889624059653311e-05,0.008638540113983458,0.49613359467064977,0.7,0.3,0.0
10-28-0.pt,10,28,0.05079135769267789,easy,0.09685722733168181,0.09557584554055411,5.3495539939785464e-05,0.012834752466369722,0.5014629780256705,0.7,0.3,0.0
10-29-0.pt,10,29,0.053556551353925584,easy,0.10349679832746428,0.09072023866481495,4.829220135998698e-05,0.010791452967161453,0.5067186093135815,0.7,0.3,0.0
10-3-0.pt,10,3,0.13753957409099107,medium,0.558110696263366,0.14436664558630385,0.020289964210375978,0.07079924566486354,0.2161155585046861,0.7,0.3,0.0
10-30-0.pt,10,30,0.06852968837644217,easy,0.12302686952978159,0.1043180280121622,4.366548334015087e-05,0.007476882258274401,0.5115988057192562,0.7,0.3,0.0
10-31-0.pt,10,31,0.06698120392878232,easy,0.11703473478917513,0.09975453010158133,4.009086171909173e-05,0.007585571190937266,0.5166547258204383,0.7,0.3,0.0
10-32-0.pt,10,32,0.09253116133057157,medium,0.13916760310097775,0.13107896321351165,3.7506936171099595e-05,0.009713035702918376,0.5214221444793377,0.7,0.3,0.0
10-33-0.pt,10,33,0.057458827524749,easy,0.13287589967379215,0.0472451855296036,3.562293523671982e-05,0.008644944424199896,0.526121755081723,0.7,0.3,0.0
10-34-0.pt,10,34,0.07416737192441279,easy,0.11068724414542991,0.1016480148013446,3.406214311210508e-05,0.01042349001261299,0.5310184155249523,0.7,0.3,0.0
10-35-0.pt,10,35,0.07229831827371483,easy,0.11725368190228067,0.08293044339333241,3.308078628563286e-05,0.011572080451083018,0.535905560831387,0.7,0.3,0.0
10-36-0.pt,10,36,0.07986447471694827,easy,0.11274943783460879,0.10146590254778785,3.182526468859133e-05,0.010072618396804478,0.5402827624986735,0.7,0.3,0.0
10-37-0.pt,10,37,0.07654442526492652,easy,0.10611217553153511,0.0930901512771988,3.109478009345729e-05,0.011377007162523002,0.5445590023667422,0.7,0.3,0.0
10-38-0.pt,10,38,0.10421279681798927,medium,0.16047390546047352,0.1054433034320736,3.045365469791285e-05,0.006863129187156791,0.5482049255850003,0.7,0.3,0.0
10-39-0.pt,10,39,0.10585050689425692,medium,0.1600449619598385,0.10272823605314028,3.008406204354082e-05,0.008262760138353198,0.5525161717611541,0.7,0.3,0.0
10-4-0.pt,10,4,0.09903425217973141,medium,0.47312508871104714,0.11259689836618615,0.009105595714046155,0.06320795463758487,0.24799914169352436,0.7,0.3,0.0
10-40-0.pt,10,40,0.1226020859614414,medium,0.16710862131833495,0.12922906562072328,2.9856766215070456e-05,0.00981123452105911,0.5566450404128664,0.7,0.3,0.0
10-41-0.pt,10,41,0.10874555479567576,medium,0.1532029176976996,0.1073169701424861,2.9676916071217782e-05,0.0064191794646951,0.5609018965085741,0.7,0.3,0.0
10-42-0.pt,10,42,0.10305089323456215,medium,0.16944655094592695,0.07181139325355342,2.97383323657603e-05,0.006602292776456899,0.5648887196006116,0.7,0.3,0.0
10-43-0.pt,10,43,0.0948292380019465,medium,0.17163814382099854,0.04555053097400388,3.0057573269333842e-05,0.005987063312516181,0.5684856179790047,0.7,0.3,0.0
10-44-0.pt,10,44,0.12916624954102385,medium,0.15988391079462322,0.13336796253347308,2.9958306107518534e-05,0.007560399911129746,0.5726747935419132,0.7,0.3,0.0
10-45-0.pt,10,45,0.15289446897708725,medium,0.17437640786830047,0.1712424286439084,3.035406131449326e-05,0.007515110922050179,0.5765717562915873,0.7,0.3,0.0
10-46-0.pt,10,46,0.11031114945289777,medium,0.17448282947000712,0.06707935478027248,3.092005976743876e-05,0.0033067914417084683,0.5804203055882515,0.7,0.3,0.0
10-47-0.pt,10,47,0.12198301318975911,medium,0.19501696223177295,0.07202169249802745,3.123108722413321e-05,0.0014694544719818623,0.5839203744630028,0.7,0.3,0.0
10-48-0.pt,10,48,0.13818451810926421,medium,0.21275548282231346,0.08751550628706606,3.1630741985343637e-05,0.003031201940354408,0.5872836613018364,0.7,0.3,0.0
10-49-0.pt,10,49,0.1706167309291431,hard,0.23958413295695874,0.13125453168865261,3.234811357303438e-05,0.006601088944495253,0.5906301664105897,0.7,0.3,0.0
10-5-0.pt,10,5,0.029229937565538038,easy,0.3814669556479322,0.022830191575089455,0.004325676670924891,0.04629684705494426,0.27366223115821137,0.7,0.3,0.0
10-50-0.pt,10,50,0.15925564926407867,medium,0.2640933016620728,0.07616944152316989,3.281875359284112e-05,0.005165938438940872,0.5940162291193353,0.7,0.3,0.0
10-6-0.pt,10,6,0.037152346949858736,easy,0.3144401819761487,0.09003157455466902,0.002409209388614681,0.03911188879708635,0.29488510050554256,0.7,0.3,0.0
10-7-0.pt,10,7,0.04826976566509313,easy,0.3021762757764729,0.1040951236275021,0.0014483500020419935,0.040154760270226034,0.3137924599052756,0.7,0.3,0.0
10-8-0.pt,10,8,0.029904749901832214,easy,0.31000299081328525,0.048103510282567714,0.0009804645955859722,0.022820701856279404,0.3299997635296463,0.7,0.3,0.0
10-9-0.pt,10,9,0.04885176083505555,easy,0.3056519276861459,0.07644826252686372,0.0007268037484925743,0.025306525490854857,0.3448499546163303,0.7,0.3,0.0
11-10-0.pt,11,10,0.018369455651941112,easy,0.21755256308269305,0.06170015191725664,0.00046078075297591306,0.01976517116507058,0.3711191070964076,0.7,0.3,0.0
11-11-0.pt,11,11,0.02472917486531255,easy,0.20137901159292365,0.08105696403604597,0.00036654793993367863,0.015599485116340156,0.38356002023327046,0.7,0.3,0.0
11-12-0.pt,11,12,0.01738800236736595,easy,0.19543026763900564,0.05024756531448144,0.0003056075181782436,0.01920843586236854,0.39520153886189385,0.7,0.3,0.0
11-13-0.pt,11,13,0.0060723893827677,easy,0.1547125912829661,0.05426214095358012,0.00026210059234372764,0.014012488221480233,0.40616659088795565,0.7,0.3,0.0
11-14-0.pt,11,14,0.031147053292534397,easy,0.1559408457957663,0.09788855196759777,0.00022489389019256207,0.016677873345689268,0.4161777053602821,0.7,0.3,0.0
