instance_id,jobs,machines,complexity_0_1,category,s_iforest,s_lof,s_knn,s_km,complexity_prior_0_1,complexity_unsupervised_0_1,complexity_supervised_0_1,cv_r2_mean_supervised,status,blend_w_unsup,blend_w_prior,blend_w_sup
33-27-0.pt,33,27,0.4787403249596418,hard,0.01493959545329706,0.027271843885312615,0.11292145746477755,0.22958333333333333,0.7061715739207532,0.22958333333333333,16.625980187889862,0.9906380919768368,1.0,0.35,0.15,0.5
33-28-0.pt,33,28,0.4826692165274807,hard,0.022662857432221753,0.025073358285948203,0.11511024579209482,0.13458333333333333,0.7137391932190754,0.13458333333333333,16.837692135534976,0.9906380919768368,1.0,0.35,0.15,0.5
33-29-0.pt,33,29,0.5170771611469511,hard,0.04488657271777186,0.023941603126327256,0.11771246606333242,0.5641666666666667,0.7216307647426031,0.5641666666666667,17.517539630519142,0.9906380919768368,1.0,0.35,0.15,0.5
33-3-0.pt,33,3,0.22258559749339704,medium,0.42379733102977246,0.18799531486845075,0.026175379429541505,0.8758333333333334,0.368946318480156,0.8758333333333334,8.027392569458303,0.9906380919768368,1.0,0.35,0.15,0.5
33-30-0.pt,33,30,0.5288050543481992,hard,0.029190936278700473,0.021143026430582246,0.12000726753924518,0.5425,0.728655297047783,0.5425,17.9071232180592,0.9906380919768368,1.0,0.35,0.15,0.5
33-31-0.pt,33,31,0.5281611270544615,hard,0.026114040862731898,0.02039183685533601,0.12239445605085748,0.13125,0.7362103327432801,0.13125,18.274166200729596,0.9906380919768368,1.0,0.35,0.15,0.5
33-32-0.pt,33,32,0.5419559871141474,hard,0.034389508565202696,0.021862692175085807,0.12487331079036282,0.15541666666666668,0.7432076375577548,0.15541666666666668,18.685775386115075,0.9906380919768368,1.0,0.35,0.15,0.5
33-33-0.pt,33,33,0.5614716092406957,hard,0.03932640667010222,0.022329482930231553,0.12726462203558195,0.4508333333333333,0.7504620567441108,0.4508333333333333,19.021086264575302,0.9906380919768368,1.0,0.35,0.15,0.5
33-34-0.pt,33,34,0.5625431364745647,hard,0.05882900109664692,0.02696335273523875,0.1297186125080412,0.10833333333333334,0.757478045280093,0.10833333333333334,19.377455065973276,0.9906380919768368,1.0,0.35,0.15,0.5
33-35-0.pt,33,35,0.5863008109202834,hard,0.07069816913522048,0.028815238808526412,0.13219877084542883,0.38625,0.7647515505736128,0.38625,19.863883374425157,0.9906380919768368,1.0,0.35,0.15,0.5
33-36-0.pt,33,36,0.589835539385985,hard,0.07598048182192885,0.036542980417320396,0.13436752599706892,0.17625,0.771729842168517,0.17625,20.172544532224705,0.9906380919768368,1.0,0.35,0.15,0.5
33-37-0.pt,33,37,0.6117341057639822,hard,0.08720236592384942,0.0392455926398434,0.1365022270903341,0.35583333333333333,0.7782016206781812,0.35583333333333333,20.693730962943484,0.9906380919768368,1.0,0.35,0.15,0.5
33-38-0.pt,33,38,0.6328545021173149,hard,0.08298078140179717,0.044076377884204695,0.13881858360879196,0.32125,0.7850294604453946,0.32125,21.393477430489998,0.9906380919768368,1.0,0.35,0.15,0.5
